# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: 5809ef9da68c
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine,model_name,reason,sleep_state,Description
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.3645,0.0000,1.0000,0.4820,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,13,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.2492,0.0000,1.0000,0.4332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,14,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.4890,0.0000,1.0000,0.5007,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,2,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.6918,0.0000,2.0000,0.6930,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000,2.0000,3,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.8625,0.0000,2.0000,0.7837,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000,2.0000,4,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.8351,0.0000,2.0000,0.8320,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,2.0000,2.0000,5,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.2461,0.0000,1.0000,0.4314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,6,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.7321,0.0000,1.0000,0.4436,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,0.7352,0.0000,2.0000,0.6579,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000,2.0000,9,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
